Working directory is /users/iab533/scratch/HIPC-Assignment/maxwell - MPI
Running job on host
	 node002.pri.viking.alces.network at Tue 12 Apr 14:59:40 BST 2022
40 CPU cores available
node[002-003] - job number


The following have been reloaded with a version change:
  1) compiler/GCC/10.2.0 => compiler/GCC/11.2.0
  2) compiler/GCCcore/10.2.0 => compiler/GCCcore/11.2.0
  3) lib/zlib/1.2.11-GCCcore-10.2.0 => lib/zlib/1.2.11-GCCcore-11.2.0
  4) tools/binutils/2.35-GCCcore-10.2.0 => tools/binutils/2.37-GCCcore-11.2.0


The following have been reloaded with a version change:
  1) compiler/GCC/11.2.0 => compiler/GCC/10.2.0
  2) compiler/GCCcore/11.2.0 => compiler/GCCcore/10.2.0
  3) lib/zlib/1.2.11-GCCcore-11.2.0 => lib/zlib/1.2.11-GCCcore-10.2.0
  4) tools/binutils/2.37-GCCcore-11.2.0 => tools/binutils/2.35-GCCcore-10.2.0

Running problem size 1.000000 x 1.000000 on a 4000 x 4000 grid.
Step        0, Time: 5.30697226e-13 (dt: 5.30697226e-13), E magnitude: 1.41796296e+06, B magnitude: 6.86190967e-14
Step      100, Time: 5.36004198e-11 (dt: 5.30697226e-13), E magnitude: 1.41796296e+06, B magnitude: 2.30387624e-12
Step      200, Time: 1.06670142e-10 (dt: 5.30697226e-13), E magnitude: 1.41796296e+06, B magnitude: 2.34626682e-12
Step      300, Time: 1.59739865e-10 (dt: 5.30697226e-13), E magnitude: 1.41796296e+06, B magnitude: 8.84409112e-13
Step      400, Time: 2.12809588e-10 (dt: 5.30697226e-13), E magnitude: 1.41796296e+06, B magnitude: 2.26884825e-12
Step      500, Time: 2.65879310e-10 (dt: 5.30697226e-13), E magnitude: 1.41796296e+06, B magnitude: 2.38760179e-12
Step      600, Time: 3.18949033e-10 (dt: 5.30697226e-13), E magnitude: 1.41796296e+06, B magnitude: 1.53012851e-12
Step      700, Time: 3.72018755e-10 (dt: 5.30697226e-13), E magnitude: 1.41796296e+06, B magnitude: 2.31575269e-12
Step      800, Time: 4.25088478e-10 (dt: 5.30697226e-13), E magnitude: 1.41796296e+06, B magnitude: 2.45416239e-12
Step      900, Time: 4.78158200e-10 (dt: 5.30697226e-13), E magnitude: 1.41796296e+06, B magnitude: 1.96056230e-12
Step     1000, Time: 5.31227923e-10 (dt: 5.30697226e-13), E magnitude: 1.41796296e+06, B magnitude: 2.39904079e-12
Step     1100, Time: 5.84297646e-10 (dt: 5.30697226e-13), E magnitude: 1.41796296e+06, B magnitude: 2.56086833e-12
Step     1200, Time: 6.37367368e-10 (dt: 5.30697226e-13), E magnitude: 1.41796296e+06, B magnitude: 2.24636764e-12
Step     1300, Time: 6.90437091e-10 (dt: 5.30697226e-13), E magnitude: 1.41796296e+06, B magnitude: 2.45984586e-12
Step     1400, Time: 7.43506813e-10 (dt: 5.30697226e-13), E magnitude: 1.41796296e+06, B magnitude: 2.67124027e-12
Step     1500, Time: 7.96576536e-10 (dt: 5.30697226e-13), E magnitude: 1.41796296e+06, B magnitude: 2.44329041e-12
Step     1600, Time: 8.49646258e-10 (dt: 5.30697226e-13), E magnitude: 1.41796296e+06, B magnitude: 2.45210364e-12
Step     1700, Time: 9.02715981e-10 (dt: 5.30697226e-13), E magnitude: 1.41796296e+06, B magnitude: 2.81704135e-12
Step     1800, Time: 9.55785704e-10 (dt: 5.30697226e-13), E magnitude: 1.41796296e+06, B magnitude: 2.57039276e-12
Step     1900, Time: 1.00885543e-09 (dt: 5.30697226e-13), E magnitude: 1.41796296e+06, B magnitude: 2.34174610e-12
Step     2000, Time: 1.06192515e-09 (dt: 5.30697226e-13), E magnitude: 1.41796296e+06, B magnitude: 2.98016270e-12
Step     2100, Time: 1.11499487e-09 (dt: 5.30697226e-13), E magnitude: 1.41796296e+06, B magnitude: 2.66105943e-12
Step     2200, Time: 1.16806459e-09 (dt: 5.30697226e-13), E magnitude: 1.41796296e+06, B magnitude: 2.02143752e-12
Step     2300, Time: 1.22113432e-09 (dt: 5.30697226e-13), E magnitude: 1.41796296e+06, B magnitude: 3.14563488e-12
Step     2400, Time: 1.27420404e-09 (dt: 5.30697226e-13), E magnitude: 1.41796296e+06, B magnitude: 2.77466425e-12
Step     2500, Time: 1.32727376e-09 (dt: 5.30697226e-13), E magnitude: 1.41796296e+06, B magnitude: 2.31494735e-12
Step     2600, Time: 1.38034348e-09 (dt: 5.30697226e-13), E magnitude: 1.41796296e+06, B magnitude: 3.31212390e-12
Step     2700, Time: 1.43341321e-09 (dt: 5.30697226e-13), E magnitude: 1.41796296e+06, B magnitude: 2.96292039e-12
Step     2800, Time: 1.48648293e-09 (dt: 5.30697226e-13), E magnitude: 1.41796296e+06, B magnitude: 2.74398260e-12
Step     2900, Time: 1.53955265e-09 (dt: 5.30697226e-13), E magnitude: 1.41796296e+06, B magnitude: 3.46190936e-12
Step     3000, Time: 1.59262237e-09 (dt: 5.30697226e-13), E magnitude: 1.41796296e+06, B magnitude: 3.19145678e-12
Step     3014, Time: 1.59952144e-09 (dt: 5.30697226e-13), E magnitude: 1.41796296e+06, B magnitude: 3.08227767e-12
Simulation complete.

Job finished at Tue 12 Apr 15:01:41 BST 2022
